Unnamed: 0,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
0,Aaron Gordon,United States,Unknown,Denver Nuggets,32,PF,Unknown,2-Way 3-Level Scorer,"6'8""",203,235.0,106.0,"7'0""",213.0,0.0,11.0,"September 16, 1995","San Jose, California",Arizona,82,84.0,90.0,89.0,86.0,81.0,70.0,90.0,85.0,71.0,86.0,72.0,92.0,95.0,95.0,84.0,80.0,86.0,85.0,94.0,58.0,60.0,74.0,85.0,95.0,63.0,65.0,62.0,66.0,60.0,60.0,70.0,80.0,86.0,33.0,45.0,84.0,82.0,80.0,56.0,55.0,56.0,65.0,84.0,2801.0,Unknown,Unknown,Unknown,silver,Unknown,silver,Unknown,Unknown,bronze,silver,gold,Unknown,Unknown,Unknown,gold,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,silver,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold
1,Aaron Holiday,United States,Unknown,Houston Rockets,0,PG,SG,Sharpshooting Shot Creator,"6'0""",183,185.0,83.0,"6'8""",203.0,0.0,7.0,"September 30, 1996","Ruston, Louisiana",UCLA,75,85.0,92.0,89.0,83.0,83.0,85.0,75.0,73.0,76.0,77.0,49.0,56.0,85.0,85.0,84.0,48.0,70.0,25.0,60.0,25.0,45.0,32.0,47.0,80.0,75.0,82.0,86.0,76.0,82.0,51.0,54.0,34.0,68.0,43.0,50.0,67.0,69.0,45.0,40.0,33.0,47.0,70.0,76.0,2382.0,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,Aaron Nesmith,United States,Unknown,Indiana Pacers,23,SF,PF,3 & D Wing,"6'5""",196,215.0,97.0,"6'10""",208.0,0.0,5.0,"October 16, 1999","Charleston, South Carolina",Vanderbilt Commodores,81,81.0,96.0,79.0,86.0,90.0,60.0,75.0,77.0,78.0,76.0,52.0,79.0,87.0,85.0,81.0,62.0,77.0,35.0,55.0,53.0,57.0,57.0,78.0,85.0,60.0,69.0,70.0,64.0,65.0,32.0,65.0,72.0,76.0,43.0,55.0,76.0,57.0,75.0,52.0,43.0,60.0,60.0,81.0,2519.0,silver,Unknown,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,bronze
3,Aaron Wiggins,United States,Unknown,Oklahoma City Thunder,21,PF,SF,Inside-Out Scoring Threat,"6'5""",196,190.0,86.0,"6'10""",208.0,0.0,4.0,"January 2, 1999","Greensboro, North Carolina",Maryland,79,82.0,80.0,73.0,82.0,83.0,80.0,95.0,73.0,84.0,84.0,45.0,72.0,80.0,65.0,80.0,63.0,80.0,35.0,70.0,52.0,57.0,54.0,82.0,76.0,64.0,68.0,70.0,75.0,68.0,40.0,53.0,48.0,59.0,49.0,51.0,57.0,52.0,55.0,54.0,51.0,56.0,75.0,80.0,2463.0,silver,Unknown,Unknown,gold,bronze,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown
4,Ace Bailey,United States,Unknown,Utah Jazz,19,SF,SG,Unknown,"6'9""",206,200.0,90.0,Unknown,0.0,0.0,0.0,"August 13, 2006","Chattanooga, Tennessee",Rutgers,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5,Adem Bona,Nigeria,Turkey,Philadelphia 76ers,30,C,Unknown,Interior Threat,"6'10""",208,245.0,110.0,"7'0""",213.0,0.0,1.0,"March 28, 2003","Lagos, Nigeria",UCLA,77,59.0,88.0,37.0,27.0,68.0,75.0,60.0,82.0,82.0,68.0,73.0,89.0,84.0,97.0,80.0,64.0,72.0,80.0,85.0,59.0,42.0,59.0,40.0,74.0,44.0,40.0,52.0,57.0,40.0,29.0,60.0,70.0,37.0,43.0,91.0,72.0,50.0,60.0,76.0,76.0,76.0,70.0,79.0,2381.0,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,gold
6,AJ Green,United States,Unknown,Milwaukee Bucks,20,SG,SF,Catch & Shoot Ace,"6'4""",193,190.0,86.0,"6'7""",201.0,0.0,3.0,"September 27, 1999","Cedar Falls, Iowa",Northern Iowa,76,76.0,60.0,80.0,86.0,86.0,70.0,75.0,70.0,69.0,69.0,42.0,75.0,80.0,75.0,80.0,49.0,71.0,40.0,40.0,34.0,34.0,48.0,45.0,80.0,61.0,61.0,70.0,68.0,68.0,36.0,47.0,40.0,63.0,38.0,35.0,50.0,60.0,45.0,40.0,31.0,48.0,70.0,80.0,2202.0,silver,bronze,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown
7,AJ Johnson,United States,Unknown,Washington Wizards,5,SG,PG,Inside the Arc Shot Creator,"6'5""",196,160.0,72.0,"6'9""",206.0,0.0,1.0,"December 1, 2004","Woodland Hills, California",SoCal Academy,75,74.0,84.0,74.0,72.0,75.0,75.0,65.0,73.0,83.0,79.0,39.0,76.0,80.0,75.0,80.0,51.0,82.0,30.0,80.0,30.0,30.0,30.0,44.0,80.0,75.0,70.0,86.0,79.0,72.0,67.0,43.0,49.0,56.0,37.0,37.0,48.0,47.0,30.0,40.0,32.0,47.0,90.0,80.0,2290.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,silver,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze
8,A.J. Lawson,Canada,Unknown,Toronto Raptors,0,SG,SF,Catch & Shoot Threat,"6'6""",198,179.0,81.0,"6'7""",201.0,0.0,4.0,"July 15, 2000","Toronto, Canada",South Carolina,75,74.0,75.0,68.0,76.0,66.0,85.0,75.0,73.0,74.0,79.0,34.0,80.0,85.0,80.0,80.0,60.0,68.0,45.0,75.0,52.0,52.0,55.0,54.0,75.0,61.0,69.0,69.0,69.0,64.0,34.0,54.0,48.0,60.0,41.0,53.0,60.0,65.0,50.0,54.0,46.0,62.0,98.0,77.0,2398.0,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,bronze
9,Ajay Mitchell,Belgium,United States,Oklahoma City Thunder,25,SG,PG,Perimeter Threat,"6'5""",196,190.0,86.0,"6'9""",206.0,0.0,1.0,"June 25, 2002","Ans, Belgium",UC Santa Barbara,76,84.0,96.0,78.0,86.0,85.0,80.0,80.0,75.0,83.0,80.0,53.0,65.0,87.0,75.0,80.0,52.0,75.0,35.0,70.0,30.0,37.0,38.0,50.0,80.0,72.0,74.0,82.0,79.0,75.0,52.0,52.0,43.0,64.0,63.0,37.0,57.0,62.0,40.0,45.0,41.0,48.0,70.0,82.0,2412.0,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,bronze,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
